pitch_St,pitch_amp,thrust_loss
0.68,5.5,0.993519424877601
0.69,0.5,0.995949199550677
0.69,1,0.996130484930117
0.69,1.5,0.996710476246879
0.69,2,0.997621473362219
0.69,2.5,0.998082974077704
0.69,3,0.99752547184323
0.69,3.5,0.996686090584126
0.69,4,0.996394686508645
0.69,4.5,0.996267952196893
0.69,5,0.995457600492674
0.69,5.5,0.993663285879205
0.7,0.5,0.995905308315701
0.7,1,0.996111111763117
0.7,1.5,0.996694443820437
0.7,2,0.997571991061806
0.7,2.5,0.998018301193445
0.7,3,0.997522624333888
0.7,3.5,0.996754848168453
0.7,4,0.996472101862491
0.7,4.5,0.996329488073613
0.7,5,0.995536200083427
0.7,5.5,0.993796964114231
0.71,0.5,0.99586062261054
0.71,1,0.996088668224636
0.71,1.5,0.996673403069341
0.71,2,0.997519028087323
0.71,2.5,0.997952063263712
0.71,3,0.997514340159205
0.71,3.5,0.996814167893717
0.71,4,0.996541287744885
0.71,4.5,0.996384658385373
0.71,5,0.995607517198736
0.71,5.5,0.993920936746755
0.72,0.5,0.995815092613529
0.72,1,0.99606322191598
0.72,1.5,0.996647653413689
0.72,2,0.997462843305036
0.72,2.5,0.997884279397813
0.72,3,0.99750087007773
0.72,3.5,0.996864489794731
0.72,4,0.996602485722593
0.72,4.5,0.996433628123532
0.72,5,0.995671863570177
0.72,5.5,0.99403565648524
0.73,0.5,0.995768679538033
0.73,1,0.996034853352741
0.73,1.5,0.99661748652499
0.73,2,0.997403679127473
0.73,2.5,0.997814975931577
0.73,3,0.997482459042942
0.73,3.5,0.996906245531586
0.73,4,0.996655948066524
0.73,4.5,0.996476564215002
0.73,5,0.995729533761854
0.73,5.5,0.994141552976215
0.74,0.5,0.995721354988802
0.74,1,0.996003653919517
0.74,1.5,0.996583185673732
0.74,2,0.997341763541961
0.74,2.5,0.997744186637843
0.74,3,0.997459346931896
0.74,3.5,0.996939857386557
0.74,4,0.996701935342962
0.74,4.5,0.996513635650143
0.74,5,0.995780806936624
0.74,5.5,0.994239034149174
0.75,0.5,0.99567310027473
0.75,1,0.995969724009693
0.75,1.5,0.996545025301749
0.75,2,0.997277311922704
0.75,2.5,0.997671952799587
0.75,3,0.997431769146964
0.75,3.5,0.996965737524621
0.75,4,0.996740714252031
0.75,4.5,0.996545013450718
0.75,5,0.995825948421266
0.75,5.5,0.994328487506447
0.76,0.5,0.995623905694098
0.76,1,0.995933171341391
0.76,1.5,0.996503270769872
0.76,2,0.997210528642818
0.76,2.5,0.997598323176311
0.76,3,0.997399957109456
0.76,3.5,0.996984287463052
0.76,4,0.996772555696763
0.76,4.5,0.996570870513382
0.76,5,0.995865211087066
0.76,5.5,0.99441028135361
0.77,0.5,0.995573769805928
0.77,1,0.995894109439025
0.77,1.5,0.996458178239099
0.77,2,0.99714160850189
0.77,2.5,0.997523353888804
0.77,3,0.997364138660561
0.77,3.5,0.996995897704427
0.77,4,0.99679773306508
0.77,4.5,0.996591381358544
0.77,5,0.995898836562186
0.77,5.5,0.994484765967467
0.78,0.5,0.995522698698836
0.78,1,0.995852656268793
0.78,1.5,0.996409994650054
0.78,2,0.997070737983334
0.78,2.5,0.99744710824288
0.78,3,0.99732453838183
0.78,3.5,0.99700094749489
0.78,4,0.996816520706742
0.78,4.5,0.996606721809604
0.78,5,0.9959270562917
0.78,5.5,0.994552274700095
0.79,0.5,0.995470705266736
0.79,1,0.995808933016033
0.79,1.5,0.996358957771254
0.79,2,0.996998096354265
0.79,2.5,0.997369656508897
0.79,3,0.99728137784458
0.79,3.5,0.996999804675908
0.79,4,0.996829192587644
0.79,4.5,0.996617068623337
0.79,5,0.995950092460538
0.79,5.5,0.99461312501837
0.8,0.5,0.995417808499074
0.8,1,0.995763062992368
0.8,1.5,0.996305296291467
0.8,2,0.996923856618875
0.8,2.5,0.997291075670687
0.8,3,0.997234875794774
0.8,3.5,0.996992825602951
0.8,4,0.996836021104415
0.8,4.5,0.996622599088552
0.8,5,0.995968158793764
0.8,5.5,0.994667619479454
0.81,0.5,0.995364032791645
0.81,1,0.99571517066092
0.81,1.5,0.996249229935652
0.81,2,0.996848186334062
0.81,2.5,0.997211449154975
0.81,3,0.997185248277208
0.81,3.5,0.99698035510919
0.81,4,0.996837276043427
0.81,4.5,0.996623490606999
0.81,5,0.995981461247722
0.81,5.5,0.994716046643387
0.82,0.5,0.995309407282824
0.82,1,0.995665380768431
0.82,1.5,0.996190969587551
0.82,2,0.996771248293717
0.82,2.5,0.997130866550133
0.82,3,0.997132708699983
0.82,3.5,0.996962726496073
0.82,4,0.996833223669362
0.82,4.5,0.996619920267891
0.82,5,0.995990198604657
0.82,5.5,0.994758681924538
0.83,0.5,0.99525396521884
0.83,1,0.995613817574019
0.83,1.5,0.996130717405256
0.83,2,0.996693201085098
0.83,2.5,0.99704942332136
0.83,3,0.997077467837141
0.83,3.5,0.996940261536087
0.83,4,0.996824125929883
0.83,4.5,0.996612064425127
0.83,5,0.995994562982417
